sample	cohort	condition	role	tool	input_reads_used	expected_c2_reads_at_depth	candidate_reads	strict_c2_best_reads	c2_tied_best_reads	c2_supported_reads	non_c2_best_reads	unmapped_reads	strict_c2_best_rate	c2_tied_best_rate	c2_supported_rate	non_c2_best_rate	unmapped_rate	candidate_reads_per_million	strict_c2_best_reads_per_million	c2_supported_reads_per_million
2015_Yu_SZAXPI015247-35_c2Positive_rank27_head3000k	2015 Yu et al	control	paper_c2_positive	Centrifuger	3000000	24.0	414	227	18	245	2	167	0.548309	0.043478	0.591787	0.004831	0.403382	138.0	75.66666666666667	81.66666666666667
2015_Yu_SZAXPI015247-35_c2Positive_rank27_head3000k	2015 Yu et al	control	paper_c2_positive	Chimera	3000000	24.0	1707	95	43	138	11	1558	0.055653	0.02519	0.080844	0.006444	0.912712	569.0	31.666666666666668	46.0
2015_Yu_SZAXPI015247-35_c2Positive_rank27_head3000k	2015 Yu et al	control	paper_c2_positive	Kraken2_LF01	3000000	24.0	72	72	0	72	0	0	1.0	0.0	1.0	0.0	0.0	24.0	24.0	24.0
2015_Yu_SZAXPI015248-36_zeroFna_rank82_head3000k	2015 Yu et al	control	paper_zero_fna	Centrifuger	3000000	0.0	770	353	46	399	8	363	0.458442	0.05974	0.518182	0.01039	0.471429	256.66666666666663	117.66666666666666	133.0
2015_Yu_SZAXPI015248-36_zeroFna_rank82_head3000k	2015 Yu et al	control	paper_zero_fna	Chimera	3000000	0.0	3919	95	1488	1583	56	2280	0.024241	0.379689	0.40393	0.014289	0.581781	1306.3333333333335	31.666666666666668	527.6666666666666
2015_Yu_SZAXPI015248-36_zeroFna_rank82_head3000k	2015 Yu et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	178	178	0	178	0	0	1.0	0.0	1.0	0.0	0.0	59.333333333333336	59.333333333333336	59.333333333333336
2015_Yu_SZAXPI015249-37_zeroFna_rank79_head3000k	2015 Yu et al	control	paper_zero_fna	Centrifuger	3000000	0.0	553	196	46	242	5	306	0.35443	0.083183	0.437613	0.009042	0.553345	184.33333333333334	65.33333333333333	80.66666666666667
2015_Yu_SZAXPI015249-37_zeroFna_rank79_head3000k	2015 Yu et al	control	paper_zero_fna	Chimera	3000000	0.0	1724	71	119	190	33	1501	0.041183	0.069026	0.110209	0.019142	0.87065	574.6666666666666	23.666666666666668	63.333333333333336
2015_Yu_SZAXPI015249-37_zeroFna_rank79_head3000k	2015 Yu et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	88	88	0	88	0	0	1.0	0.0	1.0	0.0	0.0	29.333333333333332	29.333333333333332	29.333333333333332
2015_Yu_SZAXPI015250-39_c2Positive_rank5_head3000k	2015 Yu et al	control	paper_c2_positive	Centrifuger	3000000	2294.1	847	492	66	558	14	275	0.580874	0.077922	0.658796	0.016529	0.324675	282.3333333333333	164.0	186.0
2015_Yu_SZAXPI015250-39_c2Positive_rank5_head3000k	2015 Yu et al	control	paper_c2_positive	Chimera	3000000	2294.1	3226	526	687	1213	275	1738	0.16305	0.212957	0.376007	0.085245	0.538748	1075.3333333333333	175.33333333333334	404.3333333333333
2015_Yu_SZAXPI015250-39_c2Positive_rank5_head3000k	2015 Yu et al	control	paper_c2_positive	Kraken2_LF01	3000000	2294.1	241	238	1	239	2	0	0.987552	0.004149	0.991701	0.008299	0.0	80.33333333333334	79.33333333333333	79.66666666666666
2015_Yu_SZAXPI015251-41_zeroFna_rank85_head3000k	2015 Yu et al	control	paper_zero_fna	Centrifuger	3000000	0.0	408	160	14	174	4	230	0.392157	0.034314	0.426471	0.009804	0.563725	136.0	53.333333333333336	58.0
