sample	cohort	condition	role	tool	signal_unit	input_reads_used	paper_fna_c2_percent	expected_c2_reads_at_depth	fna_c2_signal	fna_c1_signal	non_c1c2_signal	other_or_unmapped_signal
2015_Yu_SZAXPI003423-8_zeroFna_rank95_head3000k	2015 Yu et al	disease	paper_zero_fna	sylph	sequence_abundance_pct	3000000	0.0	0.0	0.0	0.0	0.0	100.0
2015_Yu_SZAXPI003424-12_c2Positive_rank21_head3000k	2015 Yu et al	disease	paper_c2_positive	Centrifuger	reads_per_million	3000000	0.00179	53.7	199.0	36.333333	157.666667	999607.0
2015_Yu_SZAXPI003424-12_c2Positive_rank21_head3000k	2015 Yu et al	disease	paper_c2_positive	Chimera	reads_per_million	3000000	0.00179	53.7	757.0	149.666667	1368.666667	997724.666667
2015_Yu_SZAXPI003424-12_c2Positive_rank21_head3000k	2015 Yu et al	disease	paper_c2_positive	Kraken2_LF01	reads_per_million	3000000	0.00179	53.7	50.666667	0.0	1.0	999948.333333
2015_Yu_SZAXPI003424-12_c2Positive_rank21_head3000k	2015 Yu et al	disease	paper_c2_positive	sylph	sequence_abundance_pct	3000000	0.00179	53.7	0.0	0.0	0.0	0.0
2015_Yu_SZAXPI003425-1_zeroFna_rank60_head3000k	2015 Yu et al	disease	paper_zero_fna	Centrifuger	reads_per_million	3000000	0.0	0.0	123.0	26.0	106.333333	999744.666667
2015_Yu_SZAXPI003425-1_zeroFna_rank60_head3000k	2015 Yu et al	disease	paper_zero_fna	Chimera	reads_per_million	3000000	0.0	0.0	1082.333333	123.333333	881.0	997913.333333
2015_Yu_SZAXPI003425-1_zeroFna_rank60_head3000k	2015 Yu et al	disease	paper_zero_fna	Kraken2_LF01	reads_per_million	3000000	0.0	0.0	23.333333	0.0	0.0	999976.666667
2015_Yu_SZAXPI003425-1_zeroFna_rank60_head3000k	2015 Yu et al	disease	paper_zero_fna	sylph	sequence_abundance_pct	3000000	0.0	0.0	0.0	0.0	0.0	0.0
2015_Yu_SZAXPI003426-11_zeroFna_rank74_head3000k	2015 Yu et al	disease	paper_zero_fna	Centrifuger	reads_per_million	3000000	0.0	0.0	112.333333	13.333333	102.0	999772.333333
2015_Yu_SZAXPI003426-11_zeroFna_rank74_head3000k	2015 Yu et al	disease	paper_zero_fna	Chimera	reads_per_million	3000000	0.0	0.0	657.0	142.333333	1261.0	997939.666667
2015_Yu_SZAXPI003426-11_zeroFna_rank74_head3000k	2015 Yu et al	disease	paper_zero_fna	Kraken2_LF01	reads_per_million	3000000	0.0	0.0	13.0	0.0	1.333333	999985.666667
2015_Yu_SZAXPI003426-11_zeroFna_rank74_head3000k	2015 Yu et al	disease	paper_zero_fna	sylph	sequence_abundance_pct	3000000	0.0	0.0	0.0	0.0	0.0	0.0
2015_Yu_SZAXPI003427-1_zeroFna_rank67_head3000k	2015 Yu et al	disease	paper_zero_fna	Centrifuger	reads_per_million	3000000	0.0	0.0	137.666667	26.0	128.0	999708.333333
2015_Yu_SZAXPI003427-1_zeroFna_rank67_head3000k	2015 Yu et al	disease	paper_zero_fna	Chimera	reads_per_million	3000000	0.0	0.0	615.666667	123.0	1177.333333	998084.0
2015_Yu_SZAXPI003427-1_zeroFna_rank67_head3000k	2015 Yu et al	disease	paper_zero_fna	Kraken2_LF01	reads_per_million	3000000	0.0	0.0	23.333333	0.0	0.333333	999976.333333
2015_Yu_SZAXPI003427-1_zeroFna_rank67_head3000k	2015 Yu et al	disease	paper_zero_fna	sylph	sequence_abundance_pct	3000000	0.0	0.0	0.0	0.0	4.6279	95.3721
2015_Yu_SZAXPI003428-6_zeroFna_rank59_head3000k	2015 Yu et al	disease	paper_zero_fna	Centrifuger	reads_per_million	3000000	0.0	0.0	145.666667	14.666667	88.666667	999751.0
2015_Yu_SZAXPI003428-6_zeroFna_rank59_head3000k	2015 Yu et al	disease	paper_zero_fna	Chimera	reads_per_million	3000000	0.0	0.0	619.666667	114.333333	1251.666667	998014.333333
2015_Yu_SZAXPI003428-6_zeroFna_rank59_head3000k	2015 Yu et al	disease	paper_zero_fna	Kraken2_LF01	reads_per_million	3000000	0.0	0.0	15.666667	0.0	0.666667	999983.666667
2015_Yu_SZAXPI003428-6_zeroFna_rank59_head3000k	2015 Yu et al	disease	paper_zero_fna	sylph	sequence_abundance_pct	3000000	0.0	0.0	0.0	0.0	0.0	0.0
2015_Yu_SZAXPI003429-3_zeroFna_rank56_head3000k	2015 Yu et al	control	paper_zero_fna	Centrifuger	reads_per_million	3000000	0.0	0.0	161.333333	19.333333	148.0	999671.333333
2015_Yu_SZAXPI003429-3_zeroFna_rank56_head3000k	2015 Yu et al	control	paper_zero_fna	Chimera	reads_per_million	3000000	0.0	0.0	1399.666667	144.333333	1040.0	997416.0
2015_Yu_SZAXPI003429-3_zeroFna_rank56_head3000k	2015 Yu et al	control	paper_zero_fna	Kraken2_LF01	reads_per_million	3000000	0.0	0.0	22.666667	0.0	1.0	999976.333333
2015_Yu_SZAXPI003429-3_zeroFna_rank56_head3000k	2015 Yu et al	control	paper_zero_fna	sylph	sequence_abundance_pct	3000000	0.0	0.0	0.0	0.0	0.0	0.0
2015_Yu_SZAXPI003430-5_c2Positive_rank19_head3000k	2015 Yu et al	disease	paper_c2_positive	Centrifuger	reads_per_million	3000000	0.00561	168.3	144.666667	64.333333	148.0	999643.0
2015_Yu_SZAXPI003430-5_c2Positive_rank19_head3000k	2015 Yu et al	disease	paper_c2_positive	Chimera	reads_per_million	3000000	0.00561	168.3	1001.0	148.333333	927.0	997923.666667
2015_Yu_SZAXPI003430-5_c2Positive_rank19_head3000k	2015 Yu et al	disease	paper_c2_positive	Kraken2_LF01	reads_per_million	3000000	0.00561	168.3	23.333333	0.0	0.0	999976.666667
2015_Yu_SZAXPI003430-5_c2Positive_rank19_head3000k	2015 Yu et al	disease	paper_c2_positive	sylph	sequence_abundance_pct	3000000	0.00561	168.3	0.0	0.0	0.0	0.0
2015_Yu_SZAXPI003431-1_c2Positive_rank18_head3000k	2015 Yu et al	disease	paper_c2_positive	Centrifuger	reads_per_million	3000000	0.00643	192.9	241.0	48.333333	474.333333	999236.333333
2015_Yu_SZAXPI003431-1_c2Positive_rank18_head3000k	2015 Yu et al	disease	paper_c2_positive	Chimera	reads_per_million	3000000	0.00643	192.9	683.666667	138.0	1947.666667	997230.666667
2015_Yu_SZAXPI003431-1_c2Positive_rank18_head3000k	2015 Yu et al	disease	paper_c2_positive	Kraken2_LF01	reads_per_million	3000000	0.00643	192.9	27.666667	1.666667	24.0	999946.666667
2015_Yu_SZAXPI003431-1_c2Positive_rank18_head3000k	2015 Yu et al	disease	paper_c2_positive	sylph	sequence_abundance_pct	3000000	0.00643	192.9	0.0	0.0	0.0	100.0
2015_Yu_SZAXPI003432-12_zeroFna_rank47_head3000k	2015 Yu et al	disease	paper_zero_fna	Centrifuger	reads_per_million	3000000	0.0	0.0	125.333333	18.666667	84.333333	999771.666667
2015_Yu_SZAXPI003432-12_zeroFna_rank47_head3000k	2015 Yu et al	disease	paper_zero_fna	Chimera	reads_per_million	3000000	0.0	0.0	1005.666667	126.0	792.0	998076.333333
2015_Yu_SZAXPI003432-12_zeroFna_rank47_head3000k	2015 Yu et al	disease	paper_zero_fna	Kraken2_LF01	reads_per_million	3000000	0.0	0.0	11.666667	0.0	0.0	999988.333333
2015_Yu_SZAXPI003432-12_zeroFna_rank47_head3000k	2015 Yu et al	disease	paper_zero_fna	sylph	sequence_abundance_pct	3000000	0.0	0.0	0.0	0.0	0.0	0.0
2015_Yu_SZAXPI003433-7_zeroFna_rank62_head3000k	2015 Yu et al	control	paper_zero_fna	Centrifuger	reads_per_million	3000000	0.0	0.0	133.0	21.666667	136.333333	999709.0
2015_Yu_SZAXPI003433-7_zeroFna_rank62_head3000k	2015 Yu et al	control	paper_zero_fna	Chimera	reads_per_million	3000000	0.0	0.0	587.333333	190.333333	1226.666667	997995.666667
2015_Yu_SZAXPI003433-7_zeroFna_rank62_head3000k	2015 Yu et al	control	paper_zero_fna	Kraken2_LF01	reads_per_million	3000000	0.0	0.0	14.0	0.0	1.0	999985.0
2015_Yu_SZAXPI003433-7_zeroFna_rank62_head3000k	2015 Yu et al	control	paper_zero_fna	sylph	sequence_abundance_pct	3000000	0.0	0.0	0.0	0.0	0.0	0.0
2015_Yu_SZAXPI003434-7_zeroFna_rank36_head3000k	2015 Yu et al	disease	paper_zero_fna	Centrifuger	reads_per_million	3000000	0.0	0.0	113.333333	20.666667	95.0	999771.0
2015_Yu_SZAXPI003434-7_zeroFna_rank36_head3000k	2015 Yu et al	disease	paper_zero_fna	Chimera	reads_per_million	3000000	0.0	0.0	651.333333	123.666667	1263.0	997962.0
2015_Yu_SZAXPI003434-7_zeroFna_rank36_head3000k	2015 Yu et al	disease	paper_zero_fna	Kraken2_LF01	reads_per_million	3000000	0.0	0.0	15.333333	0.0	1.0	999983.666667
2015_Yu_SZAXPI003434-7_zeroFna_rank36_head3000k	2015 Yu et al	disease	paper_zero_fna	sylph	sequence_abundance_pct	3000000	0.0	0.0	0.0	0.0	0.0	100.0
2015_Yu_SZAXPI003435-11_c2Positive_rank3_head3000k	2015 Yu et al	disease	paper_c2_positive	Centrifuger	reads_per_million	3000000	0.13233	3969.9	307.333333	74.0	492.333333	999126.333333
2015_Yu_SZAXPI003435-11_c2Positive_rank3_head3000k	2015 Yu et al	disease	paper_c2_positive	Chimera	reads_per_million	3000000	0.13233	3969.9	1335.0	216.0	2068.0	996381.0
2015_Yu_SZAXPI003435-11_c2Positive_rank3_head3000k	2015 Yu et al	disease	paper_c2_positive	Kraken2_LF01	reads_per_million	3000000	0.13233	3969.9	53.0	3.333333	31.0	999912.666667
2015_Yu_SZAXPI003435-11_c2Positive_rank3_head3000k	2015 Yu et al	disease	paper_c2_positive	sylph	sequence_abundance_pct	3000000	0.13233	3969.9	42.065	0.0	0.0	57.935
2015_Yu_SZAXPI003436-7_zeroFna_rank44_head3000k	2015 Yu et al	disease	paper_zero_fna	Centrifuger	reads_per_million	3000000	0.0	0.0	162.0	25.333333	100.0	999712.666667
2015_Yu_SZAXPI003436-7_zeroFna_rank44_head3000k	2015 Yu et al	disease	paper_zero_fna	Chimera	reads_per_million	3000000	0.0	0.0	1132.333333	153.333333	955.333333	997759.0
2015_Yu_SZAXPI003436-7_zeroFna_rank44_head3000k	2015 Yu et al	disease	paper_zero_fna	Kraken2_LF01	reads_per_million	3000000	0.0	0.0	38.0	0.0	0.0	999962.0
2015_Yu_SZAXPI003436-7_zeroFna_rank44_head3000k	2015 Yu et al	disease	paper_zero_fna	sylph	sequence_abundance_pct	3000000	0.0	0.0	0.0	0.0	0.0	0.0
2015_Yu_SZAXPI003437-3_zeroFna_rank53_head3000k	2015 Yu et al	disease	paper_zero_fna	Centrifuger	reads_per_million	3000000	0.0	0.0	343.0	47.333333	261.0	999348.666667
2015_Yu_SZAXPI003437-3_zeroFna_rank53_head3000k	2015 Yu et al	disease	paper_zero_fna	Chimera	reads_per_million	3000000	0.0	0.0	825.666667	162.666667	1537.666667	997474.0
2015_Yu_SZAXPI003437-3_zeroFna_rank53_head3000k	2015 Yu et al	disease	paper_zero_fna	Kraken2_LF01	reads_per_million	3000000	0.0	0.0	65.333333	0.0	4.333333	999930.333333
2015_Yu_SZAXPI003437-3_zeroFna_rank53_head3000k	2015 Yu et al	disease	paper_zero_fna	sylph	sequence_abundance_pct	3000000	0.0	0.0	0.0	0.0	0.0	0.0
2015_Yu_SZAXPI015209-133_zeroFna_rank28_head3000k	2015 Yu et al	disease	paper_zero_fna	Centrifuger	reads_per_million	3000000	0.0	0.0	104.333333	25.0	128.0	999742.666667
2015_Yu_SZAXPI015209-133_zeroFna_rank28_head3000k	2015 Yu et al	disease	paper_zero_fna	Chimera	reads_per_million	3000000	0.0	0.0	507.333333	127.0	1166.666667	998199.0
2015_Yu_SZAXPI015209-133_zeroFna_rank28_head3000k	2015 Yu et al	disease	paper_zero_fna	Kraken2_LF01	reads_per_million	3000000	0.0	0.0	6.333333	0.0	1.0	999992.666667
2015_Yu_SZAXPI015209-133_zeroFna_rank28_head3000k	2015 Yu et al	disease	paper_zero_fna	sylph	sequence_abundance_pct	3000000	0.0	0.0	0.0	0.0	0.0	100.0
2015_Yu_SZAXPI015211-166_c2Positive_rank23_head3000k	2015 Yu et al	disease	paper_c2_positive	Centrifuger	reads_per_million	3000000	0.00142	42.6	167.333333	38.666667	113.666667	999680.333333
2015_Yu_SZAXPI015211-166_c2Positive_rank23_head3000k	2015 Yu et al	disease	paper_c2_positive	Chimera	reads_per_million	3000000	0.00142	42.6	543.333333	134.666667	1171.333333	998150.666667
2015_Yu_SZAXPI015211-166_c2Positive_rank23_head3000k	2015 Yu et al	disease	paper_c2_positive	Kraken2_LF01	reads_per_million	3000000	0.00142	42.6	41.666667	0.0	3.333333	999955.0
2015_Yu_SZAXPI015211-166_c2Positive_rank23_head3000k	2015 Yu et al	disease	paper_c2_positive	sylph	sequence_abundance_pct	3000000	0.00142	42.6	0.0	0.0	0.0	0.0
2015_Yu_SZAXPI015212-113_zeroFna_rank21_head3000k	2015 Yu et al	control	paper_zero_fna	Centrifuger	reads_per_million	3000000	0.0	0.0	281.0	54.333333	331.666667	999333.0
2015_Yu_SZAXPI015212-113_zeroFna_rank21_head3000k	2015 Yu et al	control	paper_zero_fna	Chimera	reads_per_million	3000000	0.0	0.0	731.333333	130.0	1367.666667	997771.0
2015_Yu_SZAXPI015212-113_zeroFna_rank21_head3000k	2015 Yu et al	control	paper_zero_fna	Kraken2_LF01	reads_per_million	3000000	0.0	0.0	49.333333	0.0	1.333333	999949.333333
2015_Yu_SZAXPI015212-113_zeroFna_rank21_head3000k	2015 Yu et al	control	paper_zero_fna	sylph	sequence_abundance_pct	3000000	0.0	0.0	0.0	0.0	0.0	0.0
2015_Yu_SZAXPI015213-15_c2Positive_rank16_head3000k	2015 Yu et al	disease	paper_c2_positive	Centrifuger	reads_per_million	3000000	0.00865	259.5	159.666667	25.333333	100.666667	999714.333333
2015_Yu_SZAXPI015213-15_c2Positive_rank16_head3000k	2015 Yu et al	disease	paper_c2_positive	Chimera	reads_per_million	3000000	0.00865	259.5	711.333333	148.333333	1300.666667	997839.666667
2015_Yu_SZAXPI015213-15_c2Positive_rank16_head3000k	2015 Yu et al	disease	paper_c2_positive	Kraken2_LF01	reads_per_million	3000000	0.00865	259.5	32.0	0.0	0.333333	999967.666667
2015_Yu_SZAXPI015213-15_c2Positive_rank16_head3000k	2015 Yu et al	disease	paper_c2_positive	sylph	sequence_abundance_pct	3000000	0.00865	259.5	0.0	0.0	0.0	100.0
2015_Yu_SZAXPI015214-19_zeroFna_rank2_head3000k	2015 Yu et al	disease	paper_zero_fna	Centrifuger	reads_per_million	3000000	0.0	0.0	107.333333	29.666667	108.333333	999754.666667
2015_Yu_SZAXPI015214-19_zeroFna_rank2_head3000k	2015 Yu et al	disease	paper_zero_fna	Chimera	reads_per_million	3000000	0.0	0.0	547.333333	0.0	1110.0	998342.666667
2015_Yu_SZAXPI015214-19_zeroFna_rank2_head3000k	2015 Yu et al	disease	paper_zero_fna	Kraken2_LF01	reads_per_million	3000000	0.0	0.0	15.0	0.0	0.333333	999984.666667
2015_Yu_SZAXPI015214-19_zeroFna_rank2_head3000k	2015 Yu et al	disease	paper_zero_fna	sylph	sequence_abundance_pct	3000000	0.0	0.0	0.0	0.0	0.0	100.0
